Datum;Region;Kundenpünktlichkeit KPP;KPP FV;KPP RV;KAP;KAP FV;KAP RV;ZPK;ZPK FV;ZPK RV;KCOR;cor;Schlüssel
2021-05-25;NETZ;95.4670081895;93.3971400325;96.7589983371;95.588432426;93.5101666711;96.7657547237;93.7048902766;93.227637824;93.7894862867;97.6002862937;99.1608222908;2021-05-25 00:00:00-NETZ
2021-05-25;RME;94.0598475431;92.7742188523;95.336760615;94.2164398221;92.9367879451;95.3818776859;93.4493504524;92.7455156951;93.6042244835;97.2822608282;98.9190563998;2021-05-25 00:00:00-RME
2021-05-25;ROT;97.6143840206;95.3937077376;98.3725343533;97.7315053114;95.6106343011;98.3617766538;96.7916888369;95.7720546386;96.896842167;98.0159834398;99.4457718899;2021-05-25 00:00:00-ROT
2021-12-06;RME;89.5834877324;88.1633054838;91.0167142903;90.1728071264;88.6975650747;91.5356751576;89.8397836355;88.5756302521;90.1197654941;96.5419968072;98.1623131368;2021-12-06 00:00:00-RME
2021-12-06;RSD;94.5428019146;94.2311529947;94.861395763;95.0628463908;93.8157257294;96.1872913297;91.264450239;90.1657963446;91.8127035831;99.2677051801;99.5431703974;2021-12-06 00:00:00-RSD
2021-12-07;NETZ;91.12905768;87.6936062625;93.2827540599;91.9241861485;88.8011850158;93.6822430871;90.1365498629;89.9895004658;90.1627506066;97.2870038298;98.9310285518;2021-12-07 00:00:00-NETZ
2021-12-08;NETZ;83.9177720929;79.1223073186;86.9366218567;84.9486156673;80.5537707404;87.453893932;83.9326660946;83.5005698817;84.0103994464;94.3483235273;98.1084250095;2021-12-08 00:00:00-NETZ
2021-12-09;RSD;82.1713635983;81.3031585997;83.0292419721;86.396751955;83.6718802613;88.8502031971;85.5661193699;85.9328259431;85.3811748999;92.1083713673;95.6071076012;2021-12-09 00:00:00-RSD
2021-11-18;RWT;83.6064779808;80.6794332404;87.1648351342;83.8475668619;80.5125743442;87.7152533773;84.0409068904;83.5697103584;84.1731418337;96.5620115936;98.2633587786;2021-11-18 00:00:00-RWT
2021-11-19;RME;86.2820536184;82.1194597814;90.470983032;87.0143854433;82.8020403861;90.888367483;86.5516007915;83.875;87.1595479734;95.7660165909;98.2686779289;2021-11-19 00:00:00-RME
2021-06-14;RWT;90.1040758129;88.888068055;91.6643809206;91.1313455428;90.0085787185;92.5165136632;86.8481725749;87.8587309518;86.5631341601;96.11244895;98.2210692115;2021-06-14 00:00:00-RWT
2021-06-16;NETZ;94.1917792899;91.5119174704;95.866473471;94.791466083;92.2466029561;96.232177477;92.2003032809;90.4620991254;92.5102007667;97.4117820697;99.0019942773;2021-06-16 00:00:00-NETZ
2021-06-16;RSD;90.0834917455;89.4229926;90.7505957749;91.4580243915;89.7693876739;92.9788827699;86.8769024172;84.8840924541;87.8550216884;91.0949251985;97.5763016158;2021-06-16 00:00:00-RSD
2021-06-17;ROT;94.3976974451;90.2497045228;95.8145447517;95.3028731529;91.0681296675;96.5607962426;95.0702797296;92.6440045898;95.3194620393;97.8132680928;99.1423670669;2021-06-17 00:00:00-ROT
2021-09-03;RME;90.1302348376;86.6582247166;93.5829003043;90.6564984393;87.2869428823;93.7305614937;89.0129199617;85.6056751468;89.76173507;96.6498787013;98.2954908858;2021-09-03 00:00:00-RME
2021-09-03;ROT;96.0047058067;91.4598406452;97.5767832189;96.7160982617;92.7640687474;97.9035301022;93.9367767279;92.850311262;94.0492355457;97.3539903805;99.0615615616;2021-09-03 00:00:00-ROT
2021-06-23;ROT;95.4842469058;92.7919479226;96.4035543968;96.3615202266;93.6342870602;97.1732194848;93.6579835534;92.5924855491;93.7668201813;97.9333683514;99.0498165558;2021-06-23 00:00:00-ROT
2021-06-25;NETZ;94.3404908982;90.9233100795;96.4676203397;95.1072649899;92.1936201684;96.7423769762;92.6374067763;91.0004400117;92.928288462;97.5881070685;99.0413901999;2021-06-25 00:00:00-NETZ
2021-06-25;RME;92.998769547;90.2344505611;95.7730064552;93.5246510001;91.0065336702;95.831777618;92.0857135686;89.640071409;92.6326781327;96.973606881;98.6490761832;2021-06-25 00:00:00-RME
2021-06-26;RME;96.0119173257;94.7400487024;97.660953765;96.4952095875;95.3258243231;97.7846815195;96.0374182224;95.1668542487;96.2403423624;98.0016792733;99.1422075238;2021-06-26 00:00:00-RME
2021-06-26;RSD;87.5958269021;83.100027695;93.2202217684;89.5608327257;85.7720152126;93.111842912;89.4529042386;89.5487125957;89.4073461284;89.2294567377;97.3767526006;2021-06-26 00:00:00-RSD
2021-01-17;NETZ;89.3525347978;84.3208257239;93.2070914485;91.3646664057;86.9448231157;94.1764017295;88.4031146128;86.7707659115;88.713502901;94.8767282959;97.7461362335;2021-01-17 00:00:00-NETZ
2021-07-26;RME;90.8408607097;88.2428561803;93.4450188519;92.1515667115;90.1875323122;93.9324862606;90.5185858166;88.9859134476;90.8521714394;96.771909529;98.6650445533;2021-07-26 00:00:00-RME
2021-07-26;RWT;93.5372849616;93.1244873925;94.1222422725;93.6145827134;93.2694104961;94.0847301557;91.667916042;93.2778879524;91.1541412863;98.2139055951;99.2490989187;2021-07-26 00:00:00-RWT
2021-07-27;RME;91.7872376548;88.4817683314;95.0820840792;92.4969589444;89.5267382027;95.1870935027;90.906209506;85.5311059908;92.0858036787;96.5923634849;98.360170884;2021-07-27 00:00:00-RME
2021-07-27;RSD;83.2284465914;83.9400470269;82.5853773536;85.0813875783;82.1866064455;87.4549625692;83.4814405656;84.7083333333;82.9089436163;95.6727990837;97.5046210721;2021-07-27 00:00:00-RSD
2021-07-28;ROT;96.1170445392;89.8060779506;98.2372872953;96.54947123;90.4706858754;98.3214298934;95.0900670501;92.3763843161;95.3536869039;97.6211328416;99.1657191586;2021-07-28 00:00:00-ROT
2021-07-28;RWT;89.88091118;87.410481464;93.4142011631;90.620735852;88.2033128335;93.9410998982;87.7628543969;87.297029703;87.9121192893;96.3051949862;98.8626069451;2021-07-28 00:00:00-RWT
2021-07-30;NETZ;94.5711865173;91.7364174111;96.3482320283;95.3090497739;92.8555604298;96.697953773;91.8691730666;90.4722222222;92.1209422428;97.5987691847;98.944181148;2021-07-30 00:00:00-NETZ
2021-07-30;RME;94.2327800267;92.3706777139;96.1108577975;94.8166549075;93.4264549157;96.0924433628;92.2180225089;90.3450704225;92.6359607769;97.7876779479;98.8677151994;2021-07-30 00:00:00-RME
2021-07-30;ROT;97.056645364;93.3066726921;98.3309343576;97.6153778425;94.6151976664;98.4958793363;94.9024516712;92.904318249;95.0998363817;97.6061399103;99.0676023858;2021-07-30 00:00:00-ROT
2021-07-31;RSD;83.0251142474;83.1323264467;82.902823874;85.4511240078;82.1671551418;88.377826449;83.3010495095;83.5548340548;83.1836836837;96.4477615033;97.2894482091;2021-07-31 00:00:00-RSD
2021-08-01;ROT;97.2378525041;94.2740802916;98.5667285935;97.9224798285;95.1900274467;98.921395894;96.8681947192;95.6296129613;96.9990490681;98.4950127307;99.441520609;2021-08-01 00:00:00-ROT
2021-10-21;ROT;88.6432883656;81.3056735262;91.1387546894;89.8208702363;83.1728653743;91.7797782732;90.2043079548;87.3386336867;90.4895650135;94.3600003463;98.4983091649;2021-10-21 00:00:00-ROT
2021-10-21;RSD;91.1057998549;88.8791677002;93.3911836013;92.104833297;89.5394948537;94.4166726671;88.7410521777;87.5751782242;89.3222940226;93.1029109374;97.1647164716;2021-10-21 00:00:00-RSD
2021-10-22;RME;86.2252035284;83.3792051665;89.0767935051;87.3193691931;84.5432878995;89.8515728309;87.018407556;86.4613566861;87.1428926441;95.7877343765;98.0348460292;2021-10-22 00:00:00-RME
2021-10-22;RSD;81.8743336598;79.7963117616;83.8684371507;85.6745896637;80.8034490339;89.974257579;87.7365779136;86.2279894875;88.4869281046;92.4458863905;95.5026455026;2021-10-22 00:00:00-RSD
2021-10-23;ROT;94.1992860902;86.7053557888;97.5473232795;95.5186516455;88.9035436777;97.9607135249;95.4047805533;91.1160740098;95.8641994426;97.2808348334;99.2891977178;2021-10-23 00:00:00-ROT
2021-10-23;RSD;88.6091638985;89.4260006199;87.655847168;91.7500241223;89.9001776257;93.4730975862;88.5086206897;87.376802097;89.0632626846;95.3174391143;96.7391304348;2021-10-23 00:00:00-RSD
2021-10-24;RWT;92.141920264;89.4583066772;95.5730969074;92.8826526106;89.5615819525;96.6392254437;91.94101753;87.8075953356;93.0338721773;98.5802973475;98.3438388333;2021-10-24 00:00:00-RWT
2021-07-16;RWT;86.9245031505;84.3650681219;90.7321474167;87.742029667;85.303207336;91.22111676;86.0803234829;87.6208997188;85.5404007226;96.856583256;97.9286536249;2021-07-16 00:00:00-RWT
2021-07-18;RME;92.202412158;90.2857105489;94.6998533231;93.2536915615;91.6294928787;95.0503760861;93.2889244235;91.6769704073;93.6707147814;97.8065342574;98.7495900295;2021-07-18 00:00:00-RME
2021-07-19;RSD;94.125805152;93.2631416711;95.0082573704;95.3751954779;94.3646304967;96.2782311801;92.8934611048;92.5296756384;93.0699933021;95.321553254;97.8450252178;2021-07-19 00:00:00-RSD
2021-07-20;RWT;93.6538359125;93.7524306517;93.5139103271;94.7031440457;95.0731406725;94.2002290173;88.5866312741;91.7542204568;87.5698119222;98.0549213648;98.6415247364;2021-07-20 00:00:00-RWT
2021-07-22;ROT;96.4997088533;92.3756512712;97.8944806737;96.9814466684;93.137601846;98.1094448025;95.7851191112;93.2686344663;96.0327075389;97.713662608;99.2277001995;2021-07-22 00:00:00-ROT
2021-01-27;RSD;89.6224932463;84.7024690227;94.0196254322;91.1310100365;87.144960577;94.2140423401;87.4570442342;82.5960854093;89.4174739864;94.0540323709;97.1748400853;2021-01-27 00:00:00-RSD
2021-01-28;NETZ;87.4770345789;80.7034143141;91.7681308733;89.0965449017;83.287100675;92.3597718522;87.9376424038;83.9791666667;88.6327923902;95.0397391479;98.0765896956;2021-01-28 00:00:00-NETZ
2021-01-28;ROT;92.4128894378;86.7534205719;94.3458721006;93.2881188905;87.745714658;94.9438175069;92.0922983209;87.8872799546;92.5248860848;95.4906123043;98.6227570312;2021-01-28 00:00:00-ROT
2021-01-28;RWT;76.4362428534;71.7446065044;82.9349503518;79.1603324933;75.6778713271;83.5393958849;80.5268597325;79.5189843379;80.8328530259;93.8737225781;96.6405168436;2021-01-28 00:00:00-RWT
2021-01-29;RME;87.9771777147;85.123976959;90.8285394964;89.4243645463;87.4027678992;91.2590095147;88.1935697544;85.5717264387;88.7819265082;96.1233828535;98.2264138797;2021-01-29 00:00:00-RME
2021-01-29;RWT;84.7692192444;83.1884590968;86.8888839257;86.1358228343;85.368102263;87.0948671245;83.9360057763;88.0003362475;82.66240517;96.5925346828;98.2809299011;2021-01-29 00:00:00-RWT
2021-01-30;RME;95.8036226182;95.1037555487;96.7182016162;96.7767475857;96.5075945836;97.0803716193;95.4951942331;95.1783056669;95.5743653915;98.4417003763;99.1343490305;2021-01-30 00:00:00-RME
2021-01-30;ROT;96.9764398869;97.0431361849;96.9467739441;98.7235267565;97.4837135096;99.1858291992;96.971760518;96.7701149425;96.9935553002;99.1722708955;99.6594778661;2021-01-30 00:00:00-ROT
